,,,4
0,Life expectancy,CO2 emissions per capita,
0,Life expectancy,Daily calorie supply per person,
0,Life expectancy,GDP per capita,
0,Life expectancy,"Measles, first dose (MCV1)",
0,Life expectancy,Polio (Pol3),
0,Life expectancy,Tetanus (DTP3),
0,Life expectancy,Military expenditure (% of GDP),
0,Life expectancy,Political regime,0.3830890411962944
0,Life expectancy,"Population, total",
0,Life expectancy,Share of the population using the Internet,
0,Life expectancy,Share of the population using at least basic sanitation,
0,Life expectancy,Share of the labor force employed in agriculture,
0,Life expectancy,Share of the population with access to electricity,
1,Life expectancy,CO2 emissions per capita,
1,Life expectancy,Daily calorie supply per person,
1,Life expectancy,GDP per capita,
1,Life expectancy,"Measles, first dose (MCV1)",
1,Life expectancy,Polio (Pol3),
1,Life expectancy,Tetanus (DTP3),
1,Life expectancy,Military expenditure (% of GDP),
1,Life expectancy,Political regime,0.39495068162561564
1,Life expectancy,"Population, total",
1,Life expectancy,Share of the population using the Internet,
1,Life expectancy,Share of the population using at least basic sanitation,
1,Life expectancy,Share of the labor force employed in agriculture,
1,Life expectancy,Share of the population with access to electricity,
2,Life expectancy,CO2 emissions per capita,
2,Life expectancy,Daily calorie supply per person,
2,Life expectancy,GDP per capita,
2,Life expectancy,"Measles, first dose (MCV1)",
2,Life expectancy,Polio (Pol3),
2,Life expectancy,Tetanus (DTP3),
2,Life expectancy,Military expenditure (% of GDP),
2,Life expectancy,Political regime,0.34145499089630915
2,Life expectancy,"Population, total",
2,Life expectancy,Share of the population using the Internet,
2,Life expectancy,Share of the population using at least basic sanitation,
2,Life expectancy,Share of the labor force employed in agriculture,
2,Life expectancy,Share of the population with access to electricity,
3,Life expectancy,CO2 emissions per capita,
3,Life expectancy,Daily calorie supply per person,
3,Life expectancy,GDP per capita,
3,Life expectancy,"Measles, first dose (MCV1)",
3,Life expectancy,Polio (Pol3),
3,Life expectancy,Tetanus (DTP3),
3,Life expectancy,Military expenditure (% of GDP),
3,Life expectancy,Political regime,0.31757306596262325
3,Life expectancy,"Population, total",
3,Life expectancy,Share of the population using the Internet,
3,Life expectancy,Share of the population using at least basic sanitation,
3,Life expectancy,Share of the labor force employed in agriculture,
3,Life expectancy,Share of the population with access to electricity,
4,Life expectancy,CO2 emissions per capita,
4,Life expectancy,Daily calorie supply per person,
4,Life expectancy,GDP per capita,
4,Life expectancy,"Measles, first dose (MCV1)",
4,Life expectancy,Polio (Pol3),
4,Life expectancy,Tetanus (DTP3),
4,Life expectancy,Military expenditure (% of GDP),
4,Life expectancy,Political regime,0.3173296740887359
4,Life expectancy,"Population, total",
4,Life expectancy,Share of the population using the Internet,
4,Life expectancy,Share of the population using at least basic sanitation,
4,Life expectancy,Share of the labor force employed in agriculture,
4,Life expectancy,Share of the population with access to electricity,
