id,CO2 emissions per capita,Daily calorie supply per person,GDP per capita,"Measles, first dose (MCV1)",Polio (Pol3),Tetanus (DTP3),Military expenditure (% of GDP),Political regime,"Population, total",Share of the population using the Internet,Share of the population using at least basic sanitation,Share of the labor force employed in agriculture,Share of the population with access to electricity,Life expectancy
0,l,l,l,l,l,l,l,l,l,l,s,s,s,t
1,l,l,l,l,l,l,l,r,l,l,s,s,s,t
2,l,l,l,l,l,l,l,l,r,l,s,s,s,t
3,l,l,l,l,l,l,l,r,r,l,s,s,s,t
4,l,l,r,l,l,l,l,l,r,l,s,s,s,t
5,l,l,r,l,l,l,l,r,r,l,s,s,s,t
6,l,l,r,l,l,l,r,l,r,l,s,s,s,t
7,l,l,r,l,l,l,r,r,r,l,s,s,s,t
8,l,l,r,l,r,l,r,l,r,l,s,s,s,t
9,l,l,r,l,r,l,r,r,r,l,s,s,s,t
10,l,l,r,l,r,r,r,l,r,l,s,s,s,t
11,l,l,r,l,r,r,r,r,r,l,s,s,s,t
12,l,s,l,l,l,l,l,l,l,l,s,s,s,t
13,l,s,l,l,l,l,l,r,l,l,s,s,s,t
14,l,s,l,l,l,l,l,l,r,l,s,s,s,t
15,l,s,l,l,l,l,l,r,r,l,s,s,s,t
16,l,s,r,l,l,l,l,l,r,l,s,s,s,t
17,l,s,r,l,l,l,l,r,r,l,s,s,s,t
18,l,s,r,l,l,l,r,l,r,l,s,s,s,t
19,l,s,r,l,l,l,r,r,r,l,s,s,s,t
20,l,s,r,l,r,l,r,l,r,l,s,s,s,t
21,l,s,r,l,r,l,r,r,r,l,s,s,s,t
22,l,s,r,l,r,r,r,l,r,l,s,s,s,t
23,l,s,r,l,r,r,r,r,r,l,s,s,s,t
24,l,s,l,l,l,l,l,l,l,s,s,s,s,t
25,l,s,l,l,l,l,l,r,l,s,s,s,s,t
26,l,s,l,l,l,l,l,l,r,s,s,s,s,t
27,l,s,l,l,l,l,l,r,r,s,s,s,s,t
28,l,s,r,l,l,l,l,l,r,s,s,s,s,t
29,l,s,r,l,l,l,l,r,r,s,s,s,s,t
30,l,s,r,l,l,l,r,l,r,s,s,s,s,t
31,l,s,r,l,l,l,r,r,r,s,s,s,s,t
32,l,s,r,l,r,l,r,l,r,s,s,s,s,t
33,l,s,r,l,r,l,r,r,r,s,s,s,s,t
34,l,s,r,l,r,r,r,l,r,s,s,s,s,t
35,l,s,r,l,r,r,r,r,r,s,s,s,s,t
36,l,s,s,l,l,l,l,l,l,s,s,s,s,t
37,l,s,s,l,l,l,l,r,l,s,s,s,s,t
38,l,s,s,l,l,l,l,l,r,s,s,s,s,t
39,l,s,s,l,l,l,l,r,r,s,s,s,s,t
40,l,s,s,l,l,s,l,l,l,s,s,s,s,t
41,l,s,s,l,l,s,l,r,l,s,s,s,s,t
42,l,s,s,l,l,s,l,l,r,s,s,s,s,t
43,l,s,s,l,l,s,l,r,r,s,s,s,s,t
44,l,s,r,l,l,s,l,l,r,s,s,s,s,t
45,l,s,r,l,l,s,l,r,r,s,s,s,s,t
46,l,s,r,l,l,s,r,l,r,s,s,s,s,t
47,l,s,r,l,l,s,r,r,r,s,s,s,s,t
48,l,s,r,l,r,s,r,l,r,s,s,s,s,t
49,l,s,r,l,r,s,r,r,r,s,s,s,s,t
50,l,s,s,l,s,s,l,l,l,s,s,s,s,t
51,l,s,s,l,s,s,l,r,l,s,s,s,s,t
52,l,s,s,l,s,s,l,l,r,s,s,s,s,t
53,l,s,s,l,s,s,l,r,r,s,s,s,s,t
54,l,s,r,l,s,s,l,l,r,s,s,s,s,t
55,l,s,r,l,s,s,l,r,r,s,s,s,s,t
56,l,s,r,l,s,s,r,l,r,s,s,s,s,t
57,l,s,r,l,s,s,r,r,r,s,s,s,s,t
